rank,count,mean_return,median_return,win_rate
1.0,240,0.03092354335949242,0.017079039221051202,0.5875
2.0,240,0.03739391538305507,0.02651078475889965,0.6208333333333333
3.0,240,0.02362273719543451,0.0136323122637731,0.5666666666666667
4.0,240,0.01564107510832195,0.010662523123329451,0.5625
5.0,240,0.018150765236579252,0.015700336012771147,0.5625
6.0,240,0.011422668653813601,0.010471769300568201,0.55
7.0,240,0.015391806229897536,0.0198738428114323,0.6208333333333333
8.0,240,0.012851729038950394,0.013142428454054951,0.6
9.0,240,0.024423876688933203,0.02156721664876765,0.6041666666666666
10.0,240,0.010600898000933685,0.00457696106875055,0.5625
11.0,240,0.014087934180408433,0.01044559408511165,0.5708333333333333
12.0,240,0.023537441942535393,0.023812674326963303,0.6416666666666667
13.0,240,0.012746610289195307,0.00684189446765,0.55
14.0,240,0.01325315030961408,0.013164766645843949,0.5708333333333333
15.0,240,0.004403721640534159,0.0073183402179338,0.55
16.0,240,0.011929724155232616,0.016077575629273748,0.6
17.0,240,0.008059589026564654,0.010068759140056949,0.5791666666666667
18.0,240,0.01156953027044572,0.015246207286152851,0.6041666666666666
19.0,240,0.009599885541250372,0.01312025189579665,0.5916666666666667
20.0,240,0.011215279049722398,0.011244686278522,0.5875
21.0,240,0.01922990534281068,0.0196261087878385,0.6416666666666667
22.0,240,0.015853489296248514,0.01913043737656335,0.6583333333333333
23.0,240,0.014437753065793714,0.0120043937206875,0.6166666666666667
24.0,240,0.013951194903242769,0.016963040818159553,0.6125
25.0,240,0.011619468801712255,0.013400616653428551,0.6041666666666666
26.0,240,0.016009231415928162,0.015015440980654299,0.6208333333333333
27.0,240,0.013734693988789154,0.00940767927411305,0.5875
28.0,240,0.011957008584228757,0.01580284659197935,0.6166666666666667
29.0,240,0.006443724725055405,0.0034809349297123,0.5291666666666667
30.0,240,0.011411078656831424,0.0115494326556684,0.575
31.0,240,0.008557364469377398,0.0125370158513976,0.5625
32.0,225,0.013225650169619994,0.0152267868416817,0.5688888888888889
33.0,214,0.02239407157121661,0.0104402810488792,0.5841121495327103
34.0,202,0.024993510354390003,0.0204732351428678,0.6386138613861386
35.0,185,0.014464699241100129,0.0002711982950822,0.5027027027027027
36.0,175,0.011989427188183679,0.0055214820122972,0.5257142857142857
37.0,152,0.03031174625192951,0.013913141669853551,0.5789473684210527
