date,final_equity
2009-11-30,1.0
2009-12-31,0.9290021143615995
2010-03-31,0.9982879864877527
2010-04-30,0.9522551171655707
2010-06-30,0.9416401316421953
2010-08-31,1.0200037377721352
2010-09-30,1.057611507071919
2010-11-30,1.112774309567949
2010-12-31,1.1575654266619944
2011-01-31,1.2041531661057578
2011-02-28,1.2090389062304103
2011-03-31,1.2549431497607515
2011-05-31,1.2018614929113323
2011-06-30,1.2075925745881355
2011-08-31,1.0606183913512277
2011-09-30,1.1400230530131572
2011-10-31,1.1232389710772406
2011-11-30,1.1314065643834692
2012-01-31,1.2126569039895583
2012-02-29,1.262738825173911
2012-04-30,1.1791442121705538
2012-05-31,1.2264072831051611
2012-07-31,1.2619671985507996
2012-08-31,1.2836482117822552
2012-10-31,1.2961787627475183
2012-11-30,1.3263943475953093
2012-12-31,1.4284095699007933
2013-01-31,1.4342032843174919
2013-02-28,1.470777297432903
2013-04-30,1.6812790964246165
2013-05-31,1.672811849928722
2013-07-31,1.7885146092204345
2013-09-30,1.8849186019431647
2013-10-31,1.9396493357294222
2013-12-31,2.014286653728586
2014-01-31,2.1845575326670947
2014-02-28,2.130622696264704
2014-03-31,2.1125764821346946
2014-04-30,2.2052822169403634
2014-06-30,2.2554349142792454
2014-07-31,2.4065789817326118
2014-09-30,2.40383438447249
2014-10-31,2.4961424606085783
2014-12-31,2.4243394458816527
2015-03-31,2.52983290171947
2015-04-30,2.670537429445397
2015-06-30,2.69565919580911
2015-07-31,2.577494959473548
2015-08-31,2.5276279907012245
2015-09-30,2.7099514981198656
2015-11-30,2.747937648255078
2015-12-31,2.5732974177629755
2016-02-29,2.7355967317198506
2016-03-31,2.7388282944219062
2016-05-31,2.8613310002978176
2016-06-30,3.0693473669267273
2016-08-31,3.145967196616134
2016-09-30,3.1515373921934113
2016-10-31,3.32210429038891
2016-11-30,3.4904845335196772
2017-01-31,3.7333705374912225
2017-02-28,3.80966394816054
2017-03-31,3.810993430749269
2017-05-31,3.9039464469038463
2017-06-30,4.054255927337445
2017-07-31,4.127673726427904
2017-08-31,4.259906287119222
2017-10-31,4.515668077554192
2017-11-30,4.507940381790899
2018-01-31,4.775652791950698
2018-02-28,4.671953826636924
2018-04-30,4.9131293111538294
2018-05-31,4.932563915672688
2018-07-31,5.182232993552311
2018-08-31,5.204660799491857
2018-10-31,4.923342157199672
2018-11-30,4.594559769212821
2018-12-31,4.960136254870363
2019-01-31,5.04449913784148
2019-02-28,5.184164731787147
2019-04-30,4.987332975794716
2019-05-31,5.311722104891131
2019-07-31,5.364642425089296
2019-09-30,5.5666039637192375
2019-10-31,5.78005275708884
2019-12-31,6.0526068520684255
2020-01-31,5.75729840206844
2020-03-31,6.1050494748375455
2020-04-30,6.389363851739252
2020-06-30,7.085414705124555
2020-07-31,7.868739271310005
2020-08-31,7.571234269411815
2020-09-30,7.397811322971441
2020-11-30,8.248217564639916
2020-12-31,8.308152996532483
2021-03-31,8.727713924524597
2021-04-30,8.77514268469157
2021-06-30,9.054138909989582
2021-08-31,8.911422322981158
2021-09-30,9.651633496605825
2021-11-30,9.839368379733674
2021-12-31,9.171026648139218
2022-01-31,9.033973071078195
2022-02-28,9.342389068960816
2022-03-31,8.394474208737938
2022-05-31,7.985014179052684
2022-06-30,8.663193232475411
2022-08-31,7.938700584892264
2022-09-30,8.459990337343646
2022-10-31,8.836203845409722
2022-11-30,8.444964791489886
2023-01-31,8.603693875631782
2023-02-28,8.83465115425063
2023-03-31,8.925477958873039
2023-05-31,9.618854531840277
2023-06-30,9.980184262345583
2023-07-31,9.818035824031133
2023-08-31,9.353613229995092
2023-10-31,10.14797882046952
2023-11-30,10.820724295555427
2024-01-31,12.009760211485238
2024-02-29,12.475271593508584
2024-04-30,13.023218340635825
2024-05-31,13.533037287896455
2024-07-31,13.460549545244374
2024-09-30,13.682624514142189
2024-10-31,14.550224349766383
2024-12-31,14.988732235067365
2025-01-31,14.390350990312944
2025-02-28,13.451947269303755
2025-03-31,13.65899012305201
2025-04-30,14.742584699721249
2025-06-30,15.291269561003835
2025-07-31,15.74568393709354
2025-09-30,17.37643837198614
2025-10-31,17.472645072444422
2025-12-31,18.02540172101993
